"ik","stem","category","exponent","index","v_form","v_base","v_suffix","v_freq","nv_form","nv_base","nv_suffix","nv_freq","dupl","ikfreq","stemfreq","odds","log_odds","form_freq","log_form_freq","log_ikfreq","log_stemfreq","outlier_form","outlier_stem","diff_freq","log_diff_freq","n_q_types","cluster","C1","C2","homorganic","C1son","C2son","sonority","syl_count","compound","free.stem","intransitive","gloss_stem","phon_stem","cvc_weight_nak_nof","cvc_weight_anak_nof","c.sonority","c.log_ikfreq","c.log_stemfreq","cvc_freq","cc_freq","transitive","cvc_weight_nak","pred","stem_nv_freq","stem_v_freq","stem_odds","log_stem_odds"
"botlik","bot","Q","[tAk]","bot [tAk]","botoltak","botol","tAk",0,"botlottak","botl","OttAk",94,FALSE,493,2192,0.0105263157894737,-4.55387689160054,94,4.55387689160054,6.20050917404269,7.69256964806791,FALSE,FALSE,1699,7.43779512167193,9,"tl","t","l","TRUE",8,3,-5,"1","0","0",1,"toddle","botlik",0.874739805526595,0.824741076308825,3.46153846153846,-0.151981221829944,0.534389096458887,0,94,"FALSE",0.874739805526595,0.0234393155151289,343,9,0.0290697674418605,-3.53805656437935
"botlik","bot","Q","[ni]","bot [ni]","botolni","botol","ni",2,"botlani","botl","Ani",60,FALSE,493,2192,0.0491803278688525,-3.0122615755052,62,4.14313472639153,6.20050917404269,7.69256964806791,FALSE,FALSE,1699,7.43779512167193,9,"tl","t","l","TRUE",8,3,-5,"1","0","0",1,"toddle","botlik",0.874739805526595,0.824741076308825,3.46153846153846,-0.151981221829944,0.534389096458887,2,60,"FALSE",0.874739805526595,0.0392160191601513,343,9,0.0290697674418605,-3.53805656437935
"botlik","bot","Q","[nAk]","bot [nAk]","botolnak","botol","nAk",3,"botlanak","botl","AnAk",168,FALSE,493,2192,0.0236686390532544,-3.74360435380318,171,5.14749447681345,6.20050917404269,7.69256964806791,FALSE,FALSE,1699,7.43779512167193,9,"tl","t","l","TRUE",8,3,-5,"1","0","0",1,"toddle","botlik",0.874739805526595,0.824741076308825,3.46153846153846,-0.151981221829944,0.534389096458887,3,168,"FALSE",0.874739805526595,0.00980938171226213,343,9,0.0290697674418605,-3.53805656437935
"botlik","bot","Q","[nA]","bot [nA]","botolna","botol","nA",1,"botlana","botl","AnA",16,FALSE,493,2192,0.117647058823529,-2.14006616349627,17,2.89037175789616,6.20050917404269,7.69256964806791,FALSE,FALSE,1699,7.43779512167193,9,"tl","t","l","TRUE",8,3,-5,"1","0","0",1,"toddle","botlik",0.874739805526595,0.824741076308825,3.46153846153846,-0.151981221829944,0.534389096458887,1,16,"FALSE",0.874739805526595,0.0318475353087625,343,9,0.0290697674418605,-3.53805656437935
"botlik","bot","Q","[tOk]","bot [tOk]","botoltok","botol","tOk",3,"botlotok","botl","OtOk",5,FALSE,493,2192,0.666666666666667,-0.405465108108164,8,2.19722457733622,6.20050917404269,7.69256964806791,FALSE,FALSE,1699,7.43779512167193,9,"tl","t","l","TRUE",8,3,-5,"1","0","0",1,"toddle","botlik",0.874739805526595,0.824741076308825,3.46153846153846,-0.151981221829944,0.534389096458887,3,5,"FALSE",0.874739805526595,0.281857111663212,343,9,0.0290697674418605,-3.53805656437935
"burjánzik","burján","Q","[tAk]","burján [tAk]","burjánoztak","burjánoz","tAk",16,"burjánzottak","burjánz","OttAk",11,FALSE,247,1463,1.41666666666667,0.348306694268216,27,3.3322045101752,5.50938833662798,7.28824440102012,FALSE,FALSE,1216,7.10332206252611,8,"nz","n","z","TRUE",4,5,1,"2","0","0",1,"burgeon","burjaːnzik",0.987296051198142,0.984093946365865,-2.53846153846154,0.539139615584766,0.938714343506677,16,11,"FALSE",0.987296051198142,0.266376773400384,117,32,0.279661016949153,-1.27417706299918
"burjánzik","burján","Q","[tOk]","burján [tOk]","burjánoztok","burjánoz","tOk",0,"burjánzotok","burjánz","OtOk",0,FALSE,247,1463,1,0,0,0,5.50938833662798,7.28824440102012,FALSE,FALSE,1216,7.10332206252611,8,"nz","n","z","TRUE",4,5,1,"2","0","0",1,"burgeon","burjaːnzik",0.987296051198142,0.984093946365865,-2.53846153846154,0.539139615584766,0.938714343506677,0,0,"FALSE",0.987296051198142,0.8558536125172,117,32,0.279661016949153,-1.27417706299918
"burjánzik","burján","Q","[nAk]","burján [nAk]","burjánoznak","burjánoz","nAk",8,"burjánzanak","burjánz","AnAk",76,FALSE,247,1463,0.116883116883117,-2.14658084451746,84,4.44265125649032,5.50938833662798,7.28824440102012,FALSE,FALSE,1216,7.10332206252611,8,"nz","n","z","TRUE",4,5,1,"2","0","0",1,"burgeon","burjaːnzik",0.987296051198142,0.984093946365865,-2.53846153846154,0.539139615584766,0.938714343506677,8,76,"FALSE",0.987296051198142,0.130332743828337,117,32,0.279661016949153,-1.27417706299918
"burjánzik","burján","Q","[ni]","burján [ni]","burjánozni","burjánoz","ni",7,"burjánzani","burjánz","Ani",28,FALSE,247,1463,0.275862068965517,-1.28785428830664,35,3.58351893845611,5.50938833662798,7.28824440102012,FALSE,FALSE,1216,7.10332206252611,8,"nz","n","z","TRUE",4,5,1,"2","0","0",1,"burgeon","burjaːnzik",0.987296051198142,0.984093946365865,-2.53846153846154,0.539139615584766,0.938714343506677,7,28,"FALSE",0.987296051198142,0.381750230518936,117,32,0.279661016949153,-1.27417706299918
"burjánzik","burján","Q","[nA]","burján [nA]","burjánozna","burjánoz","nA",1,"burjánzana","burjánz","AnA",2,FALSE,247,1463,0.666666666666667,-0.405465108108164,3,1.38629436111989,5.50938833662798,7.28824440102012,FALSE,FALSE,1216,7.10332206252611,8,"nz","n","z","TRUE",4,5,1,"2","0","0",1,"burgeon","burjaːnzik",0.987296051198142,0.984093946365865,-2.53846153846154,0.539139615584766,0.938714343506677,1,2,"FALSE",0.987296051198142,0.332279922104049,117,32,0.279661016949153,-1.27417706299918
